constructor_id,constructor_ref,name,nationality,data_source,file_date,ingestion_date
74,maki,Maki,Japanese,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
75,hill,Embassy Hill,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
76,lyncar,Lyncar,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
77,trojan,Trojan,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
78,amon,Amon,New Zealand,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
79,token,Token,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
80,iso_marlboro,Iso Marlboro,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
81,tecno,Tecno,Italian,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
82,matra,Matra,French,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
83,politoys,Politoys,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
84,connew,Connew,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
85,bellasi,Bellasi,Swiss,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
86,tomaso,De Tomaso,Italian,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
87,cooper,Cooper,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
88,eagle,Eagle,American,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
89,lds,LDS,South African,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
90,protos,Protos,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
91,shannon,Shannon,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
92,scirocco,Scirocco,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
93,re,RE,Rhodesian,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
94,brp,BRP,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
95,porsche,Porsche,German,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
96,derrington,Derrington,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
97,gilby,Gilby,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
98,stebro,Stebro,Canadian,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
99,emeryson,Emeryson,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
100,enb,ENB,Belgium,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
101,jbw,JBW,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
102,ferguson,Ferguson,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
103,mbm,MBM,Swiss,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
104,behra-porsche,Behra-Porsche,Italian,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
105,maserati,Maserati,Italian,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
106,scarab,Scarab,American,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
107,watson,Watson,American,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
108,epperly,Epperly,American,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
109,phillips,Phillips,American,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
110,lesovsky,Lesovsky,American,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
111,trevis,Trevis,American,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
112,meskowski,Meskowski,American,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
113,kurtis_kraft,Kurtis Kraft,American,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
114,kuzma,Kuzma,American,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
115,vhristensen,Christensen,American,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
116,ewing,Ewing,American,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
117,aston_martin,Aston Martin,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
118,vanwall,Vanwall,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
119,moore,Moore,American,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
120,dunn,Dunn,American,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
121,elder,Elder,American,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
122,sutton,Sutton,American,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
123,fry,Fry,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
124,tec-mec,Tec-Mec,Italian,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
125,connaught,Connaught,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
126,alta,Alta,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
127,osca,OSCA,Italian,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
128,gordini,Gordini,French,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
129,stevens,Stevens,American,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
130,bugatti,Bugatti,French,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
131,mercedes,Mercedes,German,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
132,lancia,Lancia,Italian,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
133,hwm,HWM,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
134,schroeder,Schroeder,American,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
135,pawl,Pawl,American,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
136,pankratz,Pankratz,American,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
137,arzani-volpini,Arzani-Volpini,Italian,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
138,nichels,Nichels,American,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
139,bromme,Bromme,American,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
140,klenk,Klenk,German,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
141,simca,Simca,French,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
142,turner,Turner,American,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
143,del_roy,Del Roy,American,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
144,veritas,Veritas,German,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
145,bmw,BMW,German,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
146,emw,EMW,East German,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
147,afm,AFM,German,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
148,frazer_nash,Frazer Nash,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
149,sherman,Sherman,American,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
150,deidt,Deidt,American,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
151,era,ERA,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
152,butterworth,Aston Butterworth,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
153,cisitalia,Cisitalia,Italian,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
154,lago,Talbot-Lago,French,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
155,hall,Hall,American,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
156,marchese,Marchese,American,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
157,langley,Langley,American,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
158,rae,Rae,American,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
159,olson,Olson,American,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
160,wetteroth,Wetteroth,American,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
161,adams,Adams,American,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
162,snowberger,Snowberger,American,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
163,milano,Milano,Italian,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
164,hrt,HRT,Spanish,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
167,cooper-maserati,Cooper-Maserati,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
166,virgin,Virgin,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
168,cooper-osca,Cooper-OSCA,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
169,cooper-borgward,Cooper-Borgward,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
170,cooper-climax,Cooper-Climax,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
